FB_complex_ID	Interactor1	Interactor2
FBgg0001641	Q8INF6	Q9W362
FBgg0001641	Q8INF6	URS00007F2EC7_7227
FBgg0001641	Q9W362	URS00007F2EC7_7227
FBgg0001641	Q7K480	URS00007F2EC7_7227
FBgg0000297	Q9V9T4	Q24368
FBgg0001737	Q9W2N0	P48603
FBgg0001747	Q8I8V0	Q8I8V0
FBgg0001747	Q8I8V0	M9PHZ1
FBgg0001747	Q8I8V0	Q9VTZ1
FBgg0001747	Q8I8V0	Q9W2I4
FBgg0001747	M9PHZ1	Q9VTZ1
FBgg0001747	M9PHZ1	Q9W2I4
FBgg0001747	Q9VTZ1	Q9W2I4
FBgg0000145	Q7KVR8	O62531
FBgg0000161	Q24253	P91926
FBgg0000161	Q24253	O62530
FBgg0000161	Q24253	Q9VDC3
FBgg0000161	P91926	O62530
FBgg0000161	P91926	Q9VDC3
FBgg0000161	O62530	Q9VDC3
FBgg0000074	Q9W3Y6	Q9I7L8
FBgg0000074	Q9W3Y6	Q9VS37
FBgg0000074	Q9VCN6	Q9VS37
FBgg0000074	Q9VCN6	Q9W4H9
FBgg0000074	Q9I7L8	Q9W4H9
FBgg0000074	Q9I7L8	Q7KA43
FBgg0000074	Q9I7L8	Q9W1E5
FBgg0000074	Q9VS37	Q9W4H9
FBgg0000074	Q9W4H9	Q24044
FBgg0000074	Q9W4H9	Q9W1E5
FBgg0000074	Q9W4H9	Q9VXV3
FBgg0000074	Q7KA43	Q9W1E5
FBgg0000129	Q7KLI1	Q7KLI1
FBgg0000129	Q7KLI1	Q9XYF4
FBgg0000129	Q9XYF4	Q9XYF4
FBgg0001553	Q9VUQ5	A1ZAW0
FBgg0001553	A1ZAW0	A1ZAW0
FBgg0001553	A1ZAW0	Q9VJY9
FBgg0001553	Q9VJY9	Q9VJY9
FBgg0000158	P45888	P32392
FBgg0000158	P45888	O97182
FBgg0000158	P45888	Q9VIM5
FBgg0000158	P45888	Q9VF28
FBgg0000158	P45888	Q9VMH2
FBgg0000158	P45888	Q9VQD8
FBgg0000158	P32392	O97182
FBgg0000158	P32392	Q9VIM5
FBgg0000158	P32392	Q9VF28
FBgg0000158	P32392	Q9VMH2
FBgg0000158	P32392	Q9VQD8
FBgg0000158	O97182	Q9VIM5
FBgg0000158	O97182	Q9VF28
FBgg0000158	O97182	Q9VMH2
FBgg0000158	O97182	Q9VQD8
FBgg0000158	Q9VIM5	Q9VF28
FBgg0000158	Q9VIM5	Q9VMH2
FBgg0000158	Q9VIM5	Q9VQD8
FBgg0000158	Q9VF28	Q9VMH2
FBgg0000158	Q9VF28	Q9VQD8
